Funds,Current Period,Values
Capital Account,,"21,47,41,024.98"
Loans (Liability),,"6,46,92,658.00"
Current Liabilities,,"19,32,48,911.83"
Branch / Divisions,,"4,91,28,891.12"
Suspense A/c,,"1,08,617.00"
Profit & Loss A/c,,"5,81,17,768.71"
Opening Balance,,
Current Period,"5,81,17,768.71",
Total,,"58,00,37,871.64"
Fixed Assets,,"12,14,35,949.86"
Investments,,"2,48,18,005.67"
Current Assets,,"43,37,83,916.11"
Total,,"58,00,37,871.64"
